Time_Hours,Blocked_By_Sun,Blocked_By_Earth,Blocked_By_Mars,Total_Blocked
0.0,32,1,1,34
24.0,32,0,0,32
48.0,32,0,0,32
72.0,32,0,0,32
96.0,32,0,0,32
120.0,32,0,0,32
144.0,32,0,0,32
168.0,32,0,0,32
192.0,33,0,0,33
216.0,33,0,0,33
240.0,33,0,0,33
264.0,32,0,0,32
288.0,32,0,0,32
312.0,32,0,0,32
336.0,32,0,0,32
360.0,32,0,0,32
384.0,32,0,0,32
408.0,32,0,0,32
432.0,32,0,0,32
456.0,32,0,0,32
480.0,40,0,0,40
504.0,32,0,0,32
528.0,32,0,0,32
552.0,32,0,0,32
576.0,32,0,0,32
600.0,32,0,0,32
624.0,32,0,0,32
648.0,32,0,0,32
672.0,32,0,0,32
696.0,32,0,0,32
720.0,32,0,0,32
744.0,32,0,0,32
768.0,32,0,0,32
792.0,32,0,0,32
816.0,32,0,0,32
840.0,32,0,0,32
864.0,32,0,0,32
888.0,32,0,0,32
912.0,32,0,0,32
936.0,32,0,0,32
960.0,32,0,0,32
984.0,32,0,0,32
1008.0,32,0,0,32
1032.0,32,0,0,32
1056.0,32,0,0,32
1080.0,32,0,0,32
1104.0,32,0,0,32
1128.0,32,0,0,32
1152.0,32,0,0,32
1176.0,32,0,0,32
1200.0,32,0,0,32
1224.0,32,0,0,32
1248.0,32,0,0,32
1272.0,32,0,0,32
1296.0,32,0,0,32
1320.0,32,0,0,32
1344.0,32,0,0,32
1368.0,32,0,0,32
1392.0,32,0,0,32
1416.0,32,0,0,32
1440.0,32,0,0,32
1464.0,32,0,0,32
1488.0,32,0,0,32
1512.0,32,0,0,32
1536.0,156,0,0,156
1560.0,156,0,0,156
1584.0,156,0,0,156
1608.0,156,0,0,156
1632.0,156,0,0,156
1656.0,156,0,0,156
1680.0,156,0,0,156
1704.0,156,0,0,156
1728.0,156,0,0,156
1752.0,156,0,0,156
1776.0,156,0,0,156
1800.0,156,0,0,156
1824.0,156,0,0,156
1848.0,156,0,0,156
1872.0,160,0,0,160
1896.0,160,0,0,160
1920.0,156,0,0,156
1944.0,156,0,0,156
1968.0,156,0,0,156
1992.0,156,0,0,156
2016.0,156,0,0,156
2040.0,156,0,0,156
2064.0,156,0,0,156
2088.0,156,0,0,156
2112.0,156,0,0,156
2136.0,156,0,0,156
2160.0,156,0,0,156
2184.0,156,0,0,156
2208.0,156,0,0,156
2232.0,156,0,0,156
2256.0,156,0,0,156
2280.0,156,0,0,156
2304.0,156,0,0,156
2328.0,156,0,0,156
2352.0,156,0,0,156
2376.0,156,0,0,156
2400.0,156,0,0,156
2424.0,156,0,0,156
2448.0,156,0,0,156
2472.0,156,0,0,156
2496.0,156,0,0,156
2520.0,156,0,0,156
2544.0,156,0,0,156
2568.0,156,0,0,156
2592.0,156,0,0,156
2616.0,156,0,0,156
2640.0,156,0,0,156
2664.0,156,0,0,156
2688.0,156,0,0,156
2712.0,156,0,0,156
2736.0,156,0,0,156
2760.0,156,0,0,156
2784.0,156,0,0,156
2808.0,156,0,0,156
2832.0,156,0,0,156
2856.0,156,0,0,156
2880.0,210,0,0,210
2904.0,210,0,0,210
2928.0,210,0,0,210
2952.0,210,0,0,210
2976.0,210,0,0,210
3000.0,210,0,0,210
3024.0,210,0,0,210
3048.0,210,0,0,210
3072.0,210,0,0,210
3096.0,210,0,0,210
3120.0,210,0,0,210
3144.0,210,0,0,210
3168.0,210,0,0,210
3192.0,210,0,0,210
3216.0,210,0,0,210
3240.0,210,0,0,210
3264.0,210,0,0,210
3288.0,210,0,0,210
3312.0,210,0,0,210
3336.0,210,0,0,210
3360.0,210,0,0,210
3384.0,210,0,0,210
